"icao","counts","latitude","longitude"
"enor",293,69.6332,30.9537
"enor",294,69.6324,30.9544
"enor",295,69.6303,30.9538
"enor",296,69.6287,30.9543
"enor",297,69.6283,30.9526
"enor",298,69.6278,30.9516
"enor",299,69.6264,30.9525
"enor",300,69.6251,30.9511
"enor",301,69.6236,30.952
"enor",302,69.6228,30.9502
"enor",303,69.622,30.9503
"enor",304,69.6188,30.9492
"enor",305,69.6181,30.9491
"enor",306,69.6174,30.9497
"enor",307,69.6154,30.9523
"enor",308,69.614,30.953
"enor",309,69.6128,30.9521
"enor",310,69.6109,30.9521
"enor",311,69.61,30.9499
"enor",312,69.6085,30.9481
"enor",313,69.6056,30.9482
"enor",314,69.6042,30.9492
"enor",315,69.6019,30.9495
"enor",316,69.6009,30.9488
"enor",317,69.6002,30.9474
"enor",318,69.5985,30.941
"enor",319,69.5965,30.9388
"enor",320,69.5944,30.9399
"enor",321,69.5934,30.9423
"enor",322,69.5925,30.9465
"enor",323,69.5906,30.9475
"enor",324,69.5878,30.9461
"enor",325,69.5862,30.9463
"enor",326,69.5853,30.9455
"enor",327,69.5834,30.9451
"enor",328,69.5815,30.9431
"enor",329,69.5806,30.9449
"enor",330,69.578,30.9444
"enor",331,69.5773,30.9465
"enor",332,69.5761,30.9469
"enor",333,69.5752,30.9456
"enor",334,69.5747,30.9434
"enor",335,69.5738,30.9411
"enor",336,69.5723,30.9391
"enor",337,69.5711,30.9387
"enor",338,69.5694,30.9397
"enor",339,69.568,30.9395
"enor",340,69.5663,30.9381
"enor",341,69.5628,30.9395
"enor",342,69.5607,30.9388
"enor",343,69.56,30.9329
"enor",344,69.5592,30.9318
"enor",345,69.5591,30.9313
"enor",346,69.5591,30.9301
"enor",347,69.5588,30.9291
"enor",348,69.5571,30.9276
"enor",349,69.5563,30.9251
"enor",350,69.5564,30.9234
"enor",351,69.5555,30.9219
"enor",352,69.5555,30.9198
"enor",353,69.5549,30.9168
"enor",354,69.5543,30.917
"enor",355,69.5536,30.916
"enor",356,69.5528,30.9107
"enor",357,69.5528,30.907
"enor",358,69.5523,30.9009
"enor",359,69.5521,30.8998
"enor",360,69.5516,30.899
"enor",361,69.5504,30.896
"enor",362,69.5495,30.8907
"enor",363,69.5488,30.8894
